accuracy,baseline,class,classifier,elapsed_sec,f1,f1_micro,f1_weighted,feature,n_test,n_train_bal,n_train_raw,pr_auc,precision,precision_micro,precision_weighted,recall,recall_micro,recall_weighted,roc_auc,support,task,task_type
,,not_PhR,rf,,0.9145023228129997,,,mfcc_sdc_mod_k7,,,,,0.9696433251148537,,,0.8652953108220977,,,,209525,fluent_vs_PhR,binary
,,PhR,rf,,0.01881331403762663,,,mfcc_sdc_mod_k7,,,,,0.011383936390066202,,,0.054157640393267786,,,,6001,fluent_vs_PhR,binary
0.8138182864248397,0.9765550328034669,__all__,rf,185.58219623565674,0.4610309073502722,0.8138182864248397,0.8766366182167445,mfcc_sdc_mod_k7,215526,237534,6476654,0.019510601893752682,0.4944699096607232,0.8138182864248397,0.952184311880095,0.4663179642358023,0.8138182864248397,0.8138182864248397,0.4206479276132964,,fluent_vs_WR,binary
,,not_WR,rf,,0.8970830757866821,,,mfcc_sdc_mod_k7,,,,,0.9747023809523809,,,0.8309141790158358,,,,210473,fluent_vs_WR,binary
,,WR,rf,,0.02497873891386223,,,mfcc_sdc_mod_k7,,,,,0.014237438369065426,,,0.10172174945576885,,,,5053,fluent_vs_WR,binary
0.7339392927071444,0.9120848528715793,__all__,rf,520.9835352897644,0.4902950299983882,0.7339392927071444,0.7807335236999026,mfcc_sdc_mod_k7,215526,1614783,6476654,0.10549322547998162,0.505451207069356,0.7339392927071444,0.842569442930878,0.5116923937796728,0.7339392927071444,0.7339392927071444,0.49637227735393624,,fluent_vs_disfluent,binary
,,Fluent,rf,,0.8426963518106529,,,mfcc_sdc_mod_k7,,,,,0.914491036502956,,,0.7813539663644965,,,,196578,fluent_vs_disfluent,binary
,,Disfluent,rf,,0.13789370818612343,,,mfcc_sdc_mod_k7,,,,,0.09641137763575588,,,0.24203082119484906,,,,18948,fluent_vs_disfluent,binary
0.20018466449523492,0.9120848528715793,__all__,rf,201.8504819869995,0.08010155606072958,0.20018466449523492,0.3018058708886104,mfcc_sdc_mod_k7,215526,83694,6476654,,0.14859999003782323,0.20018466449523492,0.8296136462851268,0.19040074826173553,0.20018466449523492,0.20018466449523492,,,multiclass,multiclass
,,Fluent,rf,,0.3261612406593819,,,mfcc_sdc_mod_k7,,,,,0.9068699102109,,,0.19883710282941122,,,,196578,multiclass,multiclass
,,I,rf,,0.09810826304151994,,,mfcc_sdc_mod_k7,,,,,0.057183770883054895,,,0.3450460829493088,,,,3472,multiclass,multiclass
,,PR,rf,,0.019948849104859334,,,mfcc_sdc_mod_k7,,,,,0.010592069527430744,,,0.17105263157894737,,,,1140,multiclass,multiclass
,,PhR,rf,,0.04129766853424905,,,mfcc_sdc_mod_k7,,,,,0.023887306274991506,,,0.1523079486752208,,,,6001,multiclass,multiclass
,,WR,rf,,0.04408996334092936,,,mfcc_sdc_mod_k7,,,,,0.025198901441150657,,,0.17613299030279042,,,,5053,multiclass,multiclass
,,PWR,rf,,0.030479907744167478,,,mfcc_sdc_mod_k7,,,,,0.01615025945702038,,,0.2703808624488511,,,,3177,multiclass,multiclass
,,P,rf,,0.000625,,,mfcc_sdc_mod_k7,,,,,0.0003177124702144559,,,0.01904761904761905,,,,105,multiclass,multiclass
